Id,Beds,Baths,ListingType,Area,PopulationLatest,Schools,Colleges,Universities,Ameneties,Airbnbs,CityName,Price,AveragePrice,AboveBelowAverage
M73000004-22387722,4,3,Single Family,1434,7967,5,0,0,22,9,Hanover,849900.0,708019.0,A
M73000004-22623524,4,3,Single Family,1437,7967,5,0,0,12,9,Hanover,879900.0,708019.0,A
M73000004-23475195,4,3,Single Family,2000,11485,2,0,0,16,16,Meaford,899000.0,894860.0,A
M73000004-23675372,4,4,Single Family,3840,32721,0,0,0,0,0,LaSalle,2300000.0,752855.0,A
M73000004-23768773,2,2,Single Family,1149,94415,4,0,0,6,2,Niagara Falls,6295.0,593623.0,B
M73000004-23768774,1,1,Rental,540,94415,4,0,0,6,2,Niagara Falls,4495.0,593623.0,B
M73000004-23768775,0,1,Rental,451,94415,4,0,0,6,2,Niagara Falls,3295.0,593623.0,B
M73000004-23876065,2,2,Rental,815,43326,4,0,0,13,56,Innisfil,3000.0,869740.0,B
M73000004-23945956,0,0,Single Family,8100,1566,0,0,0,0,0,Strong,799000.0,799000.0,
M73000004-23948643,3,3,Single Family,1431,21612,4,0,0,10,23,Owen Sound,699900.0,562010.0,A
M73000004-23948644,3,3,Single Family,1431,21612,4,0,0,10,23,Owen Sound,699900.0,562010.0,A
M73000004-23948645,4,4,Single Family,1685,21612,4,0,0,11,23,Owen Sound,749900.0,562010.0,A
M73000004-23948646,4,4,Single Family,1685,21612,4,0,0,11,22,Owen Sound,749900.0,562010.0,A
M73000004-23976016,4,3,Single Family,1552,21612,0,0,0,0,0,Owen Sound,999900.0,562010.0,A
M73000004-23976017,4,3,Single Family,1594,21612,0,0,0,0,0,Owen Sound,999900.0,562010.0,A
M73000004-23993386,2,2,Condo,1310,15908,0,0,0,6,1,Saugeen Shores,640000.0,784200.0,B
M73000004-23995473,4,3,Single Family,1135,9390,0,0,0,6,72,The Blue Mountains,8000.0,1066799.0,B
M73000004-24074743,6,5,Single Family,8811,136803,4,0,0,32,9,St. Catharines,5495000.0,648367.0,A
M73000004-24079888,3,2,Single Family,1442,21147,0,0,0,0,0,Huntsville,999000.0,850383.0,A
M73000004-24157644,4,3,Single Family,1477,21612,6,1,0,26,26,Owen Sound,929900.0,562010.0,A
M73000004-24184498,3,2,Single Family,1400,924,1,0,0,0,0,Ear Falls,175000.0,212250.0,B
