Id,AddressStreet,CityName,ListingType,Price
M73000004-23666276,2445 BAYVIEW AVE,Toronto,Single Family,5538461.539
M73000004-24461361,6700 CONCESSION 4 RD,Uxbridge,Single Family,4490000
M73000004-24517620,15763 DUFFERIN ST,King,Single Family,7800000
M73000004-24708010,4 GLENHOLME AVE,Toronto,Multi-Family,1950000
M73000004-24822845,13645 NINTH LINE,Whitchurch-Stouffville,Single Family,6288000
M73000004-24825868,157 LANGSTAFF RD E,Richmond Hill,Multi-Family,4900000
M73000004-24967529,175 SIMCOE AVE,Georgina,Single Family,600000
M73000004-24979298,4988 BASELINE RD,Georgina,Single Family,3000000
M73000004-24989270,259 BERRY RD,Toronto,Single Family,1705000
M73000004-25006384,1 HOUDINI WAY,Aurora,Single Family,5495000
M73000004-25055405,2381 BURNHAMTHORPE Road W,Oakville,Single Family,1698000
M73000004-25064816,66 ROXBOROUGH RD,Newmarket,Single Family,3249888
M73000004-25088543,835 Spring Gardens Road,Burlington,Single Family,1149000
M73000004-25105464,457 LEES Lane,Oakville,Single Family,4495000
M73000004-25120429,3043 EIGHTH LINE,Oakville,Single Family,5699900
M73000004-25124126,2275 DOULTON Drive,Mississauga,Single Family,29900000
M73000004-25143602,4300 BROCK RD,Uxbridge,Single Family,4999998
M73000004-25145109,72 WESLOCK CRES,Aurora,Single Family,2599900
M73000004-25174802,1343 BLYTHE Road,Mississauga,Single Family,24500000
M73000004-25178590,11106 FOURTH LINE,Halton Hills,Single Family,5800000
M73000004-25178885,71 WOODWARD Avenue,Brampton,Single Family,1249000
M73000004-25208052,16865 RIDGE RD,Brock,Single Family,2380000
M73000004-25231830,17 ISABELLA ST,Toronto,Multi-Family,4998000
M73000004-25237857,28700 HIGHWAY 48,Georgina,Single Family,3499000
M73000004-25239461,195 SORAUREN AVE,Toronto,Single Family,3100000
M73000004-25245360,16114 AIRPORT RD,Caledon,Single Family,11500000
M73000004-25255470,36 HONEY LOCUST CRT,Vaughan,Single Family,4998900
M73000004-25284317,3359 VIVIAN RD,Whitchurch-Stouffville,Single Family,5748000
M73000004-25291092,8735 MILBUROUGH Line,Milton,Single Family,2750000
M73000004-25292626,#802 -5949 YONGE ST,Toronto,Single Family,421071.4286
M73000004-25305145,#19 -12870 KEELE ST,King,Single Family,1399000
M73000004-25305698,2278 LAKESHORE Road,Burlington,Single Family,5065736.615
M73000004-25327762,2571 SOLINA RD,Clarington,Single Family,2900000
M73000004-25327765,1953 HIGHWAY 2,Clarington,Single Family,2900000
M73000004-25335880,6 GOSSET RD,Brampton,Single Family,999900
M73000004-25338857,13970 EIGHTH LINE,Halton Hills,Single Family,3750000
M73000004-25348147,45 STEELE VALLEY RD,Markham,Single Family,8300000
M73000004-25365837,5108 MAJOR MACKENZIE DR E,Markham,Single Family,8880000
M73000004-25375364,49 ASTLEY AVE,Toronto,Single Family,2589000
M73000004-25378885,250 OKANAGAN PT,Oshawa,Single Family,949990
M73000004-25383261,139 YORKVIEW DR,Toronto,Single Family,1750000
M73000004-25403899,124 BALDWIN ST,Toronto,Single Family,2750000
M73000004-25410441,85-87 KING ST W,Clarington,Multi-Family,1999900
M73000004-25422554,11666 KEELE ST,Vaughan,Single Family,1479000
M73000004-25423525,2738 LOWER BASE LINE W,Milton,Single Family,12900000
M73000004-25436989,217 DANFORTH RD,Toronto,Single Family,2075000
M73000004-25438880,29 DORIS PAWLEY CRES,Caledon,Single Family,928214.2857
M73000004-25445007,52 PROCTOR AVE,Markham,Single Family,3014189.286
M73000004-25451294,#58 -LOT 58 BLOCK 09 WAY,Whitby,Single Family,1049000
M73000004-25453218,11 RIDGEWOOD RD,Toronto,Single Family,11500000
M73000004-25462998,7651 MILBUROUGH LINE,Milton,Single Family,11899000
M73000004-25478709,148 GLENLAKE AVE,Toronto,Single Family,2850000
M73000004-25478711,148 GLENLAKE AVE,Toronto,Multi-Family,2850000
M73000004-25484101,31 TYNDALL AVE,Toronto,Single Family,2600000
M73000004-25484102,31 TYNDALL AVE,Toronto,Multi-Family,2600000
M73000004-25485716,15 A MEDFORD AVE,Toronto,Single Family,1399000
M73000004-25485746,389 BECKER RD,Richmond Hill,Single Family,1988000
M73000004-25489969,11678 REGIONAL ROAD 25 Road,Halton Hills,Single Family,3625000
M73000004-25496436,116 EDEN VALE DR,King,Single Family,14500000
M73000004-25496444,526 KLEINBERG SUMMIT WAY,Vaughan,Single Family,2099900
M73000004-25500205,12864 INNIS LAKE RD,Caledon,Single Family,15000000
M73000004-25500369,2040 BRONTE RD,Oakville,Single Family,2100000
M73000004-25502922,4315 19TH AVE,Markham,Single Family,5855000
M73000004-25504638,767 MAYFIELD Road,Brampton,Single Family,7900000
M73000004-25509761,2108 PHARMACY AVE,Toronto,Single Family,1600000
M73000004-25510267,1092 ARGYLE Drive,Oakville,Single Family,22999000
M73000004-25523303,56 RIA CRT,King,Single Family,3798000
M73000004-25525337,12 HEDGEROW LANE,Vaughan,Single Family,4625000
M73000004-25534708,125 MADISON AVE,Toronto,Multi-Family,2999900
M73000004-25537111,473 VAUGHAN RD,Toronto,Single Family,999000
M73000004-25538369,49 WILLIAM CRAGG DR S,Toronto,Single Family,1190000
M73000004-25540397,40 TYLER ST,Aurora,Single Family,490000
M73000004-25545154,28 EDNA AVE,Toronto,Single Family,1659000
M73000004-25546039,310 ROBERT ST,Toronto,Single Family,3175000
M73000004-25549137,749 B SHAW ST E,Toronto,Single Family,1989000
M73000004-25549820,193 ALEXANDER RD,Newmarket,Single Family,1339800
M73000004-25552477,537 BLYTHWOOD RD,Toronto,Single Family,3788000
M73000004-25553725,16363 HURONTARIO ST,Caledon,Single Family,2799000
M73000004-25554178,2109 DEVON Road,Oakville,Single Family,2329000
M73000004-25554396,50 HAVERSON BLVD,Toronto,Single Family,999000
M73000004-25557765,LOT 46 JUNIOR RD,Brampton,Single Family,1699000
M73000004-25569111,193 ROXBURY ST,Markham,Single Family,1499999
