Id,CityName,Beds,Baths,ListingType,Area,PopulationLatest,Schools,Colleges,Universities,Ameneties,Airbnbs,Price,AveragePrice,AboveBelowAverage,PriceCategorization
M73000004-22387722,Hanover,4,3,Single Family,1434,7967,5,0,0,22,9,849900.0,697130.0,A,800000-850000
M73000004-22623524,Hanover,4,3,Single Family,1437,7967,5,0,0,12,9,879900.0,697130.0,A,850000-900000
M73000004-23475195,Meaford,4,3,Single Family,2000,11485,2,0,0,16,16,899000.0,920593.0,B,850000-900000
M73000004-23675372,LaSalle,4,4,Single Family,3840,32721,0,0,0,0,0,2300000.0,698743.0,A,2000000-2500000
M73000004-23768773,Niagara Falls,2,2,Single Family,1149,94415,4,0,0,6,2,6295.0,597642.0,B,0-25000
M73000004-23768774,Niagara Falls,1,1,Rental,540,94415,4,0,0,6,2,4495.0,597642.0,B,0-25000
M73000004-23768775,Niagara Falls,0,1,Rental,451,94415,4,0,0,6,2,3295.0,597642.0,B,0-25000
M73000004-23876065,Innisfil,2,2,Rental,815,43326,4,0,0,13,56,3000.0,967822.0,B,0-25000
M73000004-23945956,Strong,0,0,Single Family,8100,1566,0,0,0,0,0,799000.0,799999.0,B,750000-800000
M73000004-23948643,Owen Sound,3,3,Single Family,1431,21612,4,0,0,10,23,699900.0,563743.0,A,650000-700000
M73000004-23948644,Owen Sound,3,3,Single Family,1431,21612,4,0,0,10,23,699900.0,563743.0,A,650000-700000
M73000004-23948645,Owen Sound,4,4,Single Family,1685,21612,4,0,0,11,23,749900.0,563743.0,A,700000-750000
M73000004-23948646,Owen Sound,4,4,Single Family,1685,21612,4,0,0,11,22,749900.0,563743.0,A,700000-750000
M73000004-23976016,Owen Sound,4,3,Single Family,1552,21612,0,0,0,0,0,999900.0,563743.0,A,950000-1000000
M73000004-23976017,Owen Sound,4,3,Single Family,1594,21612,0,0,0,0,0,999900.0,563743.0,A,950000-1000000
M73000004-23993386,Saugeen Shores,2,2,Condo,1310,15908,0,0,0,6,1,640000.0,827031.0,B,600000-650000
M73000004-23995473,The Blue Mountains,4,3,Single Family,1135,9390,0,0,0,6,72,8000.0,1150137.0,B,0-25000
M73000004-24074743,St. Catharines,6,5,Single Family,8811,136803,4,0,0,32,9,5495000.0,654102.0,A,5000000-5500000
M73000004-24079888,Huntsville,3,2,Single Family,1442,21147,0,0,0,0,0,999000.0,855364.0,A,950000-1000000
M73000004-24157644,Owen Sound,4,3,Single Family,1477,21612,6,1,0,26,26,929900.0,563743.0,A,900000-950000
M73000004-24184498,Ear Falls,3,2,Single Family,1400,924,1,0,0,0,0,175000.0,212250.0,B,150000-175000
M73000004-24346163,Hamilton,3,3,Single Family,7800,11059,8,0,0,50,19,4968966.0,587574.0,A,5500000-6000000
M73000004-24365655,London,14,7,Multi-Family,2078,422324,5,0,0,122,23,1855855.0,723548.0,A,1800000-1900000
M73000004-24404770,Tiny,4,1,Single Family,1050,12966,0,0,0,0,0,3399000.0,1115788.0,A,3000000-3500000
M73000004-24476686,North Bay,4,3,Single Family,1521,52662,0,0,0,0,0,727500.0,648021.0,A,700000-750000
M73000004-24479475,North Bay,2,1,Single Family,1297,52662,18,0,0,23,30,669900.0,648021.0,A,650000-700000
M73000004-24480029,North Bay,2,2,Single Family,1517,52662,0,0,0,0,0,696300.0,648021.0,A,650000-700000
M73000004-24576412,London,3,3,Single Family,1654,422324,24,1,0,55,34,889900.0,723548.0,A,850000-900000
M73000004-24685064,Blind River,4,3,Single Family,1998,3422,0,0,0,0,0,486785.0,371038.0,A,475000-500000
M73000004-24700782,Wasaga Beach,2,1,Single Family,468,24862,1,0,0,0,12,139900.0,607191.0,B,125000-150000
M73000004-24730363,Kenora,5,3,Single Family,2076,14967,0,0,0,16,15,429900.0,586444.0,B,425000-450000
M73000004-24736172,London,2,3,Single Family,1530,422324,32,1,0,69,38,899900.0,723548.0,A,850000-900000
M73000004-24748451,Kingsville,4,3,Single Family,1600,22119,4,0,0,28,26,799900.0,887739.0,B,750000-800000
M73000004-24802026,Hamilton,1,0,Rental,288,11059,2,0,0,24,7,3223.0,587574.0,B,0-25000
M73000004-24811122,Kitchener,3,2,Single Family,1736,256885,11,0,0,53,48,925000.0,462327.0,A,900000-950000
M73000004-24811388,Bracebridge,7,5,Single Family,3746,17305,0,0,0,0,0,3495000.0,1140855.0,A,3000000-3500000
M73000004-24817715,Hamilton,1,0,Rental,222,11059,2,0,0,24,7,2950.0,587574.0,B,0-25000
M73000004-24839677,South River,1,1,Single Family,1187,1101,0,0,0,0,0,895500.0,841915.0,A,850000-900000
M73000004-24868538,Magnetawan,3,3,Single Family,1885,1753,0,0,0,0,0,1295000.0,813900.0,A,1200000-1300000
M73000004-24899086,Port Colborne,3,2,Single Family,1461,20033,3,0,0,7,15,789000.0,669084.0,A,750000-800000
M73000004-24902884,Barrie,1,1,Condo,764,147829,6,0,0,14,12,448900.0,554117.0,B,425000-450000
M73000004-24961997,Saugeen Shores,5,3,Single Family,1467,15908,0,0,0,6,1,974900.0,827031.0,A,950000-1000000
M73000004-24973297,Oakville,2,3,Condo,1923,213759,0,0,0,58,2,2899000.0,1140305.0,A,2500000-3000000
M73000004-24975242,Niagara-on-the-Lake,0,0,Single Family,6000,19088,0,0,0,0,0,3800000.0,1722842.0,A,3500000-4000000
M73000004-24976861,Bancroft,3,2,Single Family,1034,4065,4,1,0,15,13,689000.0,668169.0,A,650000-700000
M73000004-24979783,Owen Sound,3,2,Single Family,1230,21612,1,0,0,5,13,429000.0,563743.0,B,425000-450000
M73000004-24981854,Saugeen Shores,3,3,Single Family,1453,15908,0,0,0,6,1,954900.0,827031.0,A,950000-1000000
M73000004-24989808,Saugeen Shores,4,3,Single Family,1314,15908,0,0,0,6,1,949900.0,827031.0,A,900000-950000
M73000004-25007405,Saugeen Shores,4,3,Single Family,1304,15908,0,0,0,6,1,889900.0,827031.0,A,850000-900000
M73000004-25022448,Grey Highlands,5,4,Single Family,2500,10424,0,0,0,0,0,1065000.0,1163582.0,B,1000000-1100000
M73000004-25055405,Oakville,3,2,Single Family,1930,213759,0,0,0,0,0,1698000.0,1140305.0,A,1600000-1700000
M73000004-25057991,Welland,3,2,Single Family,1249,55750,8,0,0,21,26,475370.0,517843.0,B,475000-500000
M73000004-25060693,Owen Sound,2,2,Condo,1311,21612,0,0,0,25,18,674900.0,563743.0,A,650000-700000
M73000004-25069813,Kingston,3,3,Condo,1325,132485,15,1,1,16,36,934000.0,720402.0,A,900000-950000
M73000004-25069868,Kingston,2,3,Condo,1635,132485,15,1,1,16,36,1140000.0,720402.0,A,1100000-1200000
M73000004-25070035,Kingston,3,2,Condo,1275,132485,15,1,1,16,36,906300.0,720402.0,A,900000-950000
M73000004-25070067,Kingston,3,2,Condo,1275,132485,15,1,1,16,36,902300.0,720402.0,A,900000-950000
M73000004-25071866,Red Rock,3,0,Single Family,695,895,2,0,0,0,1,430000.0,305740.0,A,425000-450000
M73000004-25074403,Kingston,3,2,Condo,1275,132485,15,1,1,16,36,918800.0,720402.0,A,900000-950000
M73000004-25074404,Kingston,3,3,Condo,1325,132485,15,1,1,16,36,938000.0,720402.0,A,900000-950000
M73000004-25075436,Kingston,3,2,Condo,1275,132485,15,1,1,16,36,930800.0,720402.0,A,900000-950000
M73000004-25084387,Fort Frances,2,2,Single Family,1200,7466,1,1,0,5,8,470000.0,361491.0,A,450000-475000
M73000004-25084660,St. Marys,4,1,Single Family,1400,7386,0,0,0,3,0,1299000.0,700564.0,A,1200000-1300000
M73000004-25088543,Burlington,5,0,Single Family,1663,186948,0,0,0,6,16,1149000.0,1105905.0,A,1100000-1200000
M73000004-25093064,Dryden,4,2,Single Family,1440,7388,4,1,0,9,4,397065.0,335269.0,A,375000-400000
M73000004-25094176,RAINY RIVER,3,3,Single Family,2204,752,0,0,0,0,0,329900.0,303299.0,A,325000-350000
M73000004-25105464,Oakville,0,0,Single Family,2704,213759,10,1,0,32,32,4495000.0,1140305.0,A,4000000-4500000
M73000004-25111541,Sarnia,4,3,Single Family,1510,72047,10,1,0,36,15,749035.0,626337.0,A,700000-750000
M73000004-25117042,Parry Sound,4,4,Single Family,3000,6879,0,0,0,0,0,1399000.0,736286.0,A,1300000-1400000
